city
"New York, New York, United States"
"Los Angeles, California, United States"
"Chicago, Illinois, United States"
"Houston, Texas, United States"
"Phoenix, Arizona, United States"
"Philadelphia, Pennsylvania, United States"
"San Antonio, Texas, United States"
"San Diego, California, United States"
"Dallas, Texas, United States"
"San Jose, California, United States"
"Austin, Texas, United States"
"Jacksonville, Florida, United States"
"Fort Worth, Texas, United States"
"Columbus, Ohio, United States"
"Charlotte, North Carolina, United States"
"San Francisco, California, United States"
"Indianapolis, Indiana, United States"
"Seattle, Washington, United States"
"Denver, Colorado, United States"
"Boston, Massachusetts, United States"
"Miami, Florida, United States"
"Orlando, Florida, United States"
"Atlanta, Georgia, United States"
"Las Vegas, Nevada, United States"
"Detroit, Michigan, United States"
